SalesOrderId,SalesOrderNo,creationDate,channel,Mode of payment,customerId,StoreID,terminalID,returnOrderId,recordType,,
2088,S187,27/2/2019,Reverse channels,Googlepay,C0000187,4087,387,5075,Contract Purchase Orders (CPO),,
2089,S188,15/3/2019,Direct selling,Googlepay,C0000188,4088,388,5076,Standard Purchase Orders,,
2090,S189,28/3/2019,Selling through intermediaries,Googlepay,C0000189,4089,389,5077,Planned Purchase Orders (PPO),,
2091,S190,29/3/2019,Dual distribution,Googlepay,C0000190,4090,390,5078,Blanket Purchase Orders (BPO),,
2092,S191,1/4/2019,Reverse channels,Googlepay,C0000191,4091,391,5079,Contract Purchase Orders (CPO),,
2093,S192,6/4/2019,Direct selling,Googlepay,C0000192,4092,392,5080,Standard Purchase Orders,,
2094,S193,10/4/2019,Selling through intermediaries,Googlepay,C0000193,4093,393,5081,Planned Purchase Orders (PPO),,
2095,S194,10/5/2019,Dual distribution,Googlepay,C0000194,4094,394,5082,Blanket Purchase Orders (BPO),,
2096,S195,17/5/2019,Reverse channels,Googlepay,C0000195,4095,395,5083,Contract Purchase Orders (CPO),,
2097,S196,20/5/2019,Direct selling,Googlepay,C0000196,4096,396,5084,Standard Purchase Orders,,
2098,S197,22/5/2019,Selling through intermediaries,Googlepay,C0000197,4097,397,5085,Planned Purchase Orders (PPO),,
2099,S198,23/5/2019,Dual distribution,Googlepay,C0000198,4098,398,5086,Blanket Purchase Orders (BPO),,
2100,S199,24/5/2019,Reverse channels,Googlepay,C0000199,4099,399,5087,Contract Purchase Orders (CPO),,
2101,S200,10/6/2019,Direct selling,Googlepay,C00001100,4100,400,5088,Standard Purchase Orders,,
2102,S201,14/6/2019,Selling through intermediaries,Googlepay,C00001101,4101,401,5089,Planned Purchase Orders (PPO),,
2103,S202,18/6/2019,Dual distribution,Googlepay,C00001102,4102,402,5090,Blanket Purchase Orders (BPO),,
2104,S203,10/1/2019,Reverse channels,Googlepay,C00001103,4103,403,5091,Contract Purchase Orders (CPO),,
2105,S204,14/1/2019,Direct selling,Googlepay,C00001104,4104,404,5092,Standard Purchase Orders,,
2106,S205,2/2/2019,Selling through intermediaries,Googlepay,C00001105,4105,405,5093,Planned Purchase Orders (PPO),,
2107,S206,10/2/2019,Dual distribution,Googlepay,C00001106,4106,406,5094,Blanket Purchase Orders (BPO),,
2108,S207,27/2/2019,Reverse channels,Googlepay,C00001107,4107,407,5095,Contract Purchase Orders (CPO),,
2109,S208,15/3/2019,Direct selling,Googlepay,C00001108,4108,408,5096,Standard Purchase Orders,,
2110,S209,28/3/2019,Selling through intermediaries,Googlepay,C00001109,4109,409,5097,Planned Purchase Orders (PPO),,
2111,S210,29/3/2019,Dual distribution,Googlepay,C00001110,4110,410,5098,Blanket Purchase Orders (BPO),,
2112,S211,1/4/2019,Reverse channels,Googlepay,C00001111,4111,411,5099,Contract Purchase Orders (CPO),,
2113,S212,6/4/2019,Direct selling,Googlepay,C00001112,4112,412,5100,Standard Purchase Orders,,
2114,S213,10/4/2019,Selling through intermediaries,Googlepay,C00001113,4113,413,5101,Planned Purchase Orders (PPO),,
2115,S214,10/5/2019,Dual distribution,Googlepay,C00001114,4114,414,5102,Blanket Purchase Orders (BPO),,
2116,S215,17/5/2019,Reverse channels,Googlepay,C00001115,4115,415,5103,Contract Purchase Orders (CPO),,
2117,S216,20/5/2019,Direct selling,Googlepay,C00001116,4116,416,5104,Standard Purchase Orders,,
2118,S217,22/5/2019,Selling through intermediaries,Googlepay,C00001117,4117,417,5105,Planned Purchase Orders (PPO),,
2119,S218,23/5/2019,Dual distribution,Googlepay,C00001118,4118,418,5106,Blanket Purchase Orders (BPO),,
2120,S219,24/5/2019,Reverse channels,Googlepay,C00001119,4119,419,5107,Contract Purchase Orders (CPO),,
2121,S220,10/6/2019,Direct selling,Googlepay,C00001120,4120,420,5108,Standard Purchase Orders,,
2122,S221,14/6/2019,Selling through intermediaries,Googlepay,C00001121,4121,421,5109,Planned Purchase Orders (PPO),,
2123,S222,18/6/2019,Dual distribution,Googlepay,C00001122,4122,422,5110,Blanket Purchase Orders (BPO),,
2124,S223,10/1/2019,Reverse channels,Googlepay,C00001123,4123,423,5111,Contract Purchase Orders (CPO),,
2125,S224,14/1/2019,Direct selling,Googlepay,C00001124,4124,424,5112,Standard Purchase Orders,,
2126,S225,2/2/2019,Selling through intermediaries,Googlepay,C00001125,4125,425,5113,Planned Purchase Orders (PPO),,
2127,S226,10/2/2019,Dual distribution,Googlepay,C00001126,4126,426,5114,Blanket Purchase Orders (BPO),,
2128,S227,27/2/2019,Reverse channels,Googlepay,C00001127,4127,427,5115,Contract Purchase Orders (CPO),,
2129,S228,15/3/2019,Direct selling,Googlepay,C00001128,4128,428,5116,Contract Purchase Orders (CPO),,
2130,S229,28/3/2019,Selling through intermediaries,Googlepay,C00001129,4129,429,5117,Contract Purchase Orders (CPO),,
2131,S230,29/3/2019,Dual distribution,Googlepay,C00001130,4130,430,5118,Contract Purchase Orders (CPO),,
2132,S231,1/4/2019,Reverse channels,Googlepay,C00001131,4131,431,5119,Contract Purchase Orders (CPO),,
2133,S232,6/4/2019,Direct selling,Googlepay,C00001132,4132,432,5120,Contract Purchase Orders (CPO),,
2134,S233,10/4/2019,Selling through intermediaries,Googlepay,C00001133,4133,433,5121,Contract Purchase Orders (CPO),,
2135,S234,10/5/2019,Dual distribution,Googlepay,C00001134,4134,434,5122,Contract Purchase Orders (CPO),,
2136,S235,17/5/2019,Reverse channels,Googlepay,C00001135,4135,435,5123,Contract Purchase Orders (CPO),,
2137,S236,20/5/2019,Direct selling,Googlepay,C00001136,4136,436,5124,Contract Purchase Orders (CPO),,
2138,S237,22/5/2019,Selling through intermediaries,Googlepay,C00001137,4137,437,5125,Contract Purchase Orders (CPO),,
2139,S238,23/5/2019,Dual distribution,Googlepay,C00001138,4138,438,5126,Contract Purchase Orders (CPO),,
2140,S239,24/5/2019,Reverse channels,Googlepay,C00001139,4139,439,5127,Contract Purchase Orders (CPO),,
2141,S240,10/6/2019,Direct selling,Googlepay,C00001140,4140,440,5128,Contract Purchase Orders (CPO),,
2142,S241,14/6/2019,Selling through intermediaries,Googlepay,C00001141,4141,441,5129,Contract Purchase Orders (CPO),,
2143,S242,18/6/2019,Dual distribution,Googlepay,C00001142,4142,442,5130,Contract Purchase Orders (CPO),,
2144,S243,10/1/2019,Reverse channels,Googlepay,C00001143,4143,443,5131,Contract Purchase Orders (CPO),,
2145,S244,14/1/2019,Direct selling,Googlepay,C00001144,4144,444,5132,Contract Purchase Orders (CPO),,
2146,S245,2/2/2019,Selling through intermediaries,Googlepay,C00001145,4145,445,5133,Contract Purchase Orders (CPO),,
2147,S246,10/2/2019,Dual distribution,Googlepay,C00001146,4146,446,5134,Contract Purchase Orders (CPO),,
2148,S247,27/2/2019,Reverse channels,Googlepay,C00001147,4147,447,5135,Contract Purchase Orders (CPO),,
2149,S248,15/3/2019,Direct selling,Googlepay,C00001148,4148,448,5136,Contract Purchase Orders (CPO),,
2150,S249,28/3/2019,Selling through intermediaries,Googlepay,C00001149,4149,449,5137,Contract Purchase Orders (CPO),,
2151,S250,29/3/2019,Dual distribution,Googlepay,C00001150,4150,450,5138,Contract Purchase Orders (CPO),,
2152,S251,1/4/2019,Reverse channels,Googlepay,C00001151,4151,451,5139,Contract Purchase Orders (CPO),,
2153,S252,6/4/2019,Direct selling,Googlepay,C00001152,4152,452,5140,Contract Purchase Orders (CPO),,
2154,S253,10/4/2019,Selling through intermediaries,Googlepay,C00001153,4153,453,5141,Contract Purchase Orders (CPO),,
2155,S254,10/5/2019,Dual distribution,Googlepay,C00001154,4154,454,5142,Contract Purchase Orders (CPO),,
2156,S255,17/5/2019,Reverse channels,Googlepay,C00001155,4155,455,5143,Contract Purchase Orders (CPO),,
2157,S256,20/5/2019,Direct selling,Googlepay,C00001156,4156,456,5144,Contract Purchase Orders (CPO),,
2158,S257,22/5/2019,Selling through intermediaries,Googlepay,C00001157,4157,457,5145,Contract Purchase Orders (CPO),,
2159,S258,23/5/2019,Dual distribution,Googlepay,C00001158,4158,458,5146,Contract Purchase Orders (CPO),,
2160,S259,24/5/2019,Reverse channels,Googlepay,C00001159,4159,459,5147,Contract Purchase Orders (CPO),,
2161,S260,10/6/2019,Reverse channels,Googlepay,C00001160,4160,460,5148,Contract Purchase Orders (CPO),,
2162,S261,14/6/2019,Reverse channels,Googlepay,C00001161,4161,461,5149,Contract Purchase Orders (CPO),,
2163,S262,18/6/2019,Reverse channels,Googlepay,C00001162,4162,462,5150,Contract Purchase Orders (CPO),,
2164,S263,10/1/2019,Reverse channels,Googlepay,C00001163,4163,463,5151,Contract Purchase Orders (CPO),,
2165,S264,14/1/2019,Reverse channels,Googlepay,C00001164,4164,464,5152,Contract Purchase Orders (CPO),,
2166,S265,2/2/2019,Reverse channels,Googlepay,C00001165,4165,465,5153,Contract Purchase Orders (CPO),,
2167,S266,10/2/2019,Reverse channels,Googlepay,C00001166,4166,466,5154,Contract Purchase Orders (CPO),,
2168,S267,27/2/2019,Reverse channels,Googlepay,C00001167,4167,467,5155,Contract Purchase Orders (CPO),,
2169,S268,15/3/2019,Reverse channels,Googlepay,C00001168,4168,468,5156,Contract Purchase Orders (CPO),,
2170,S269,28/3/2019,Reverse channels,Googlepay,C00001169,4169,469,5157,Contract Purchase Orders (CPO),,
2171,S270,29/3/2019,Reverse channels,Googlepay,C00001170,4170,470,5158,Contract Purchase Orders (CPO),,
2172,S271,1/4/2019,Reverse channels,Googlepay,C00001171,4171,471,5159,Contract Purchase Orders (CPO),,
2173,S272,6/4/2019,Reverse channels,Googlepay,C00001172,4172,472,5160,Contract Purchase Orders (CPO),,
2174,S273,10/4/2019,Reverse channels,Googlepay,C00001173,4173,473,5161,Contract Purchase Orders (CPO),,
2175,S274,10/5/2019,Reverse channels,Googlepay,C00001174,4174,474,5162,Contract Purchase Orders (CPO),,
2176,S275,17/5/2019,Reverse channels,Googlepay,C00001175,4175,475,5163,Contract Purchase Orders (CPO),,
2177,S276,20/5/2019,Reverse channels,Googlepay,C00001176,4176,476,5164,Contract Purchase Orders (CPO),,
2178,S277,22/5/2019,Reverse channels,Googlepay,C00001177,4177,477,5165,Contract Purchase Orders (CPO),,
2179,S278,23/5/2019,Reverse channels,Googlepay,C00001178,4178,478,5166,Contract Purchase Orders (CPO),,
2180,S279,24/5/2019,Reverse channels,Googlepay,C00001179,4179,479,5167,Contract Purchase Orders (CPO),,
2181,S280,10/6/2019,Reverse channels,Googlepay,C00001180,4180,480,5168,Contract Purchase Orders (CPO),,
2182,S281,14/6/2019,Reverse channels,Googlepay,C00001181,4181,481,5169,Contract Purchase Orders (CPO),,
2183,S282,18/6/2019,Reverse channels,Googlepay,C00001182,4182,482,5170,Contract Purchase Orders (CPO),,
2184,S283,10/1/2019,Reverse channels,Googlepay,C00001183,4183,483,5171,Contract Purchase Orders (CPO),,
2185,S284,14/1/2019,Reverse channels,Googlepay,C00001184,4184,484,5172,Contract Purchase Orders (CPO),,
2186,S285,2/2/2019,Reverse channels,Googlepay,C00001185,4185,485,5173,Contract Purchase Orders (CPO),,
2187,S286,10/2/2019,Reverse channels,Googlepay,C00001186,4186,486,5174,Contract Purchase Orders (CPO),,
2188,S287,27/2/2019,Reverse channels,Googlepay,C00001187,4187,487,5175,Contract Purchase Orders (CPO),,
2189,S288,15/3/2019,Reverse channels,Googlepay,C00001188,4188,488,5176,Contract Purchase Orders (CPO),,
2190,S289,28/3/2019,Reverse channels,Googlepay,C00001189,4189,489,5177,Contract Purchase Orders (CPO),,
2191,S290,29/3/2019,Reverse channels,Googlepay,C00001190,4190,490,5178,Contract Purchase Orders (CPO),,
2192,S291,1/4/2019,Reverse channels,Googlepay,C00001191,4191,491,5179,Contract Purchase Orders (CPO),,
2193,S292,6/4/2019,Reverse channels,Googlepay,C00001192,4192,492,5180,Contract Purchase Orders (CPO),,
2194,S293,10/4/2019,Reverse channels,Googlepay,C00001193,4193,493,5181,Contract Purchase Orders (CPO),,
2195,S294,10/5/2019,Reverse channels,Googlepay,C00001194,4194,494,5182,Contract Purchase Orders (CPO),,
2196,S295,17/5/2019,Reverse channels,Googlepay,C00001195,4195,495,5183,Contract Purchase Orders (CPO),,
2197,S296,20/5/2019,Reverse channels,Googlepay,C00001196,4196,496,5184,Contract Purchase Orders (CPO),,
2198,S297,22/5/2019,Reverse channels,Googlepay,C00001197,4197,497,5185,Contract Purchase Orders (CPO),,
2199,S298,23/5/2019,Reverse channels,Googlepay,C00001198,4198,498,5186,Contract Purchase Orders (CPO),,
2200,S299,24/5/2019,Reverse channels,Googlepay,C00001199,4199,499,5187,Contract Purchase Orders (CPO),,
2201,S300,10/6/2019,Reverse channels,Googlepay,C00001200,4200,500,5188,Contract Purchase Orders (CPO),,
2202,S301,14/6/2019,Reverse channels,Googlepay,C00001201,4201,501,5189,Contract Purchase Orders (CPO),,
2203,S302,18/6/2019,Reverse channels,Googlepay,C00001202,4202,502,5190,Contract Purchase Orders (CPO),,
2204,S303,10/1/2019,Reverse channels,Googlepay,C00001203,4203,503,5191,Contract Purchase Orders (CPO),,
2205,S304,14/1/2019,Reverse channels,Googlepay,C00001204,4204,504,5192,Contract Purchase Orders (CPO),,
2206,S305,2/2/2019,Reverse channels,Googlepay,C00001205,4205,505,5193,Contract Purchase Orders (CPO),,
2207,S306,10/2/2019,Reverse channels,Googlepay,C00001206,4206,506,5194,Contract Purchase Orders (CPO),,
2208,S307,27/2/2019,Reverse channels,Googlepay,C00001207,4207,507,5195,Contract Purchase Orders (CPO),,
2209,S308,15/3/2019,Reverse channels,Googlepay,C00001208,4208,508,5196,Contract Purchase Orders (CPO),,
2210,S309,28/3/2019,Reverse channels,Googlepay,C00001209,4209,509,5197,Contract Purchase Orders (CPO),,
2211,S310,29/3/2019,Reverse channels,Googlepay,C00001210,4210,510,5198,Contract Purchase Orders (CPO),,
2212,S311,1/4/2019,Reverse channels,Googlepay,C00001211,4211,511,5199,Contract Purchase Orders (CPO),,
2213,S312,6/4/2019,Reverse channels,Googlepay,C00001212,4212,512,5200,Contract Purchase Orders (CPO),,
2214,S313,10/4/2019,Reverse channels,Googlepay,C00001213,4213,513,5201,Contract Purchase Orders (CPO),,
2215,S314,10/5/2019,Reverse channels,Googlepay,C00001214,4214,514,5202,Contract Purchase Orders (CPO),,
2216,S315,17/5/2019,Reverse channels,Googlepay,C00001215,4215,515,5203,Contract Purchase Orders (CPO),,
2217,S316,20/5/2019,Reverse channels,Googlepay,C00001216,4216,516,5204,Contract Purchase Orders (CPO),,
2218,S317,22/5/2019,Reverse channels,Googlepay,C00001217,4217,517,5205,Contract Purchase Orders (CPO),,
2219,S318,23/5/2019,Reverse channels,Googlepay,C00001218,4218,518,5206,Contract Purchase Orders (CPO),,
2220,S319,24/5/2019,Reverse channels,Googlepay,C00001219,4219,519,5207,Contract Purchase Orders (CPO),,
2221,S320,10/6/2019,Reverse channels,Googlepay,C00001220,4220,520,5208,Contract Purchase Orders (CPO),,
2222,S321,14/6/2019,Reverse channels,Googlepay,C00001221,4221,521,5209,Contract Purchase Orders (CPO),,
2223,S322,18/6/2019,Reverse channels,Googlepay,C00001222,4222,522,5210,Contract Purchase Orders (CPO),,
2224,S323,10/1/2019,Reverse channels,Googlepay,C00001223,4223,523,5211,Contract Purchase Orders (CPO),,
2225,S324,14/1/2019,Reverse channels,Googlepay,C00001224,4224,524,5212,Contract Purchase Orders (CPO),,
2226,S325,2/2/2019,Reverse channels,Googlepay,C00001225,4225,525,5213,Contract Purchase Orders (CPO),,
2227,S326,10/2/2019,Reverse channels,Googlepay,C00001226,4226,526,5214,Contract Purchase Orders (CPO),,
2228,S327,27/2/2019,Reverse channels,Googlepay,C00001227,4227,527,5215,Contract Purchase Orders (CPO),,
2229,S328,15/3/2019,Reverse channels,Googlepay,C00001228,4228,528,5216,Contract Purchase Orders (CPO),,
2230,S329,28/3/2019,Reverse channels,Googlepay,C00001229,4229,529,5217,Contract Purchase Orders (CPO),,
2231,S330,29/3/2019,Reverse channels,Googlepay,C00001230,4230,530,5218,Contract Purchase Orders (CPO),,
2232,S331,1/4/2019,Reverse channels,Googlepay,C00001231,4231,531,5219,Contract Purchase Orders (CPO),,
2233,S332,6/4/2019,Reverse channels,Googlepay,C00001232,4232,532,5220,Contract Purchase Orders (CPO),,
2234,S333,10/4/2019,Reverse channels,Googlepay,C00001233,4233,533,5221,Contract Purchase Orders (CPO),,
2235,S334,10/5/2019,Reverse channels,Googlepay,C00001234,4234,534,5222,Contract Purchase Orders (CPO),,
2236,S335,17/5/2019,Reverse channels,Googlepay,C00001235,4235,535,5223,Contract Purchase Orders (CPO),,
2237,S336,20/5/2019,Reverse channels,Googlepay,C00001236,4236,536,5224,Contract Purchase Orders (CPO),,
2238,S337,22/5/2019,Reverse channels,Googlepay,C00001237,4237,537,5225,Contract Purchase Orders (CPO),,
2239,S338,23/5/2019,Reverse channels,Googlepay,C00001238,4238,538,5226,Contract Purchase Orders (CPO),,
2240,S339,24/5/2019,Reverse channels,Googlepay,C00001239,4239,539,5227,Contract Purchase Orders (CPO),,
2241,S340,10/6/2019,Reverse channels,Googlepay,C00001240,4240,540,5228,Contract Purchase Orders (CPO),,
2242,S341,14/6/2019,Reverse channels,Googlepay,C00001241,4241,541,5229,Contract Purchase Orders (CPO),,
2243,S342,18/6/2019,Reverse channels,Googlepay,C00001242,4242,542,5230,Contract Purchase Orders (CPO),,
2244,S343,10/1/2019,Reverse channels,Googlepay,C00001243,4243,543,5231,Contract Purchase Orders (CPO),,
2245,S344,14/1/2019,Reverse channels,Googlepay,C00001244,4244,544,5232,Contract Purchase Orders (CPO),,
2246,S345,2/2/2019,Reverse channels,Googlepay,C00001245,4245,545,5233,Contract Purchase Orders (CPO),,
2247,S346,10/2/2019,Reverse channels,Googlepay,C00001246,4246,546,5234,Contract Purchase Orders (CPO),,
2248,S347,27/2/2019,Reverse channels,Googlepay,C00001247,4247,547,5235,Contract Purchase Orders (CPO),,
2249,S348,15/3/2019,Reverse channels,Googlepay,C00001248,4248,548,5236,Contract Purchase Orders (CPO),,
