CardPaymentID,PaymentDate,Amount,SalesOrderID
674,8/26/2014,11704,2074
675,9/20/2012,12012,2075
676,5/16/2014,12324,2076
677,3/16/2012,12640,2077
678,11/24/2013,12960,2078
679,11/9/2011,13284,2079
680,10/28/2011,13612,2080
681,11/19/2014,13944,2081
682,10/28/2014,14280,2082
683,1/17/2014,14620,2083
684,8/18/2014,14964,2084
685,1/29/2013,15312,2085
686,9/18/2012,15664,2086
687,11/23/2013,16020,2087
688,6/13/2012,16380,2088
689,10/28/2013,16744,2089
690,12/12/2013,17112,2090
691,5/25/2012,17484,2091
692,5/6/2013,17860,2092
693,12/2/2013,18240,2093
694,12/23/2014,18624,2094
695,1/28/2013,19012,2095
696,5/7/2012,19404,2096
697,11/27/2013,19800,2097
698,11/28/2012,18000,2098
699,9/29/2012,18200,2099
700,9/3/2013,18400,2100
701,7/26/2013,18600,2101
702,11/19/2014,18800,2102
703,6/19/2012,19000,2103
704,10/11/2012,19200,2104
705,8/9/2011,19400,2105
706,11/5/2011,19600,2106
707,11/7/2014,19800,2107
708,4/26/2013,18000,2108
709,12/26/2013,18200,2109
710,3/13/2013,18400,2110
711,4/17/2013,18600,2111
712,4/5/2012,18800,2112
713,12/26/2012,19000,2113
714,4/18/2013,19200,2114
715,5/24/2011,19400,2115
716,5/22/2012,19600,2116
717,5/16/2013,19800,2117
718,12/6/2011,18000,2118
719,2/16/2011,18200,2119
720,5/31/2013,18400,2120
721,10/1/2013,18600,2121
722,12/14/2011,18800,2122
723,12/18/2013,19000,2123
724,12/11/2013,19200,2124
725,3/18/2014,19400,2125
726,12/19/2014,19600,2126
727,12/20/2011,19800,2127
728,5/24/2013,18000,2128
729,10/14/2011,18200,2129
730,9/18/2014,18400,2130
731,11/25/2013,18600,2131
732,11/7/2013,18800,2132
733,7/19/2014,19000,2133
734,8/16/2012,19200,2134
735,8/27/2013,19400,2135
736,1/11/2012,19600,2136
737,1/28/2013,19800,2137
738,6/14/2012,18000,2138
739,12/1/2011,18200,2139
740,6/25/2013,18400,2140
741,12/6/2012,18600,2141
742,9/5/2013,18800,2142
743,9/18/2014,19000,2143
744,9/12/2014,19200,2144
745,8/3/2012,19400,2145
746,12/9/2014,19600,2146
747,10/25/2012,19800,2147
748,7/13/2012,18000,2148
749,8/27/2013,18200,2149
750,5/13/2011,18400,2150
751,11/3/2011,18600,2151
752,8/2/2014,18800,2152
753,9/20/2011,19000,2153
754,1/8/2014,19200,2154
755,3/11/2013,19400,2155
756,2/2/2012,19600,2156
757,9/9/2013,19800,2157
758,4/9/2014,18000,2158
759,3/2/2013,18200,2159
760,3/19/2014,18400,2160
761,10/2/2013,18600,2161
762,1/12/2013,18800,2162
763,8/20/2014,19000,2163
764,12/17/2011,19200,2164
765,3/14/2014,19400,2165
766,3/26/2013,19600,2166
767,7/9/2014,19800,2167
768,6/11/2013,18000,2168
769,8/10/2011,18200,2169
770,3/17/2014,18400,2170
771,1/2/2013,18600,2171
772,11/26/2013,18800,2172
773,10/10/2012,19000,2173
774,10/23/2014,19200,2174
775,6/17/2011,19400,2175
776,4/3/2014,19600,2176
777,5/17/2011,19800,2177
778,2/11/2014,18000,2178
779,10/12/2013,18200,2179
780,9/19/2011,18400,2180
781,7/17/2014,18600,2181
782,11/22/2014,18800,2182
783,5/30/2011,19000,2183
784,4/1/2014,19200,2184
785,7/17/2014,19400,2185
786,8/29/2014,19600,2186
787,12/26/2012,19800,2187
788,11/11/2014,18000,2188
789,5/1/2013,18200,2189
790,8/16/2011,18400,2190
791,12/3/2014,18600,2191
792,6/25/2013,18800,2192
793,1/21/2013,19000,2193
794,10/22/2013,19200,2194
795,7/12/2014,19400,2195
796,12/26/2013,19600,2196
797,9/1/2014,19800,2197
798,11/17/2011,18000,2198
799,6/7/2011,18200,2199
800,10/13/2011,18400,2200
801,6/10/2013,18600,2201
802,12/13/2014,18800,2202
803,10/13/2014,19000,2203
804,6/10/2014,19200,2204
805,2/15/2011,19400,2205
806,11/28/2013,19600,2206
807,6/18/2014,19800,2207
808,9/20/2013,18000,2208
809,8/9/2011,18200,2209
810,6/21/2011,18400,2210
811,8/2/2012,18600,2211
812,6/19/2012,18800,2212
813,7/16/2012,19000,2213
814,8/2/2013,19200,2214
815,5/22/2014,19400,2215
816,2/10/2011,19600,2216
817,9/27/2013,19800,2217
818,6/2/2014,18000,2218
819,9/30/2013,18200,2219
820,7/19/2011,18400,2220
821,8/14/2014,18600,2221
822,7/26/2013,18800,2222
823,10/31/2014,19000,2223
824,7/25/2013,19200,2224
825,10/7/2014,19400,2225
826,10/17/2014,19600,2226
827,12/3/2013,19800,2227
828,11/8/2014,18000,2228
829,6/10/2013,18200,2229
830,9/21/2011,18400,2230
831,6/21/2011,18600,2231
832,5/9/2014,18800,2232
833,9/23/2014,19000,2233
834,11/26/2014,19200,2234
835,3/30/2012,19400,2235
836,11/10/2011,19600,2236
837,8/22/2014,19800,2237
838,8/1/2012,18000,2238
839,12/23/2014,18200,2239
840,7/4/2014,18400,2240
841,11/21/2014,18600,2241
842,1/23/2013,18800,2242
843,5/21/2011,19000,2243
844,9/28/2014,19200,2244
845,11/6/2011,19400,2245
846,1/28/2014,19600,2246
847,9/13/2014,19800,2247
848,12/1/2012,18000,2248
849,12/22/2011,18200,2249
850,2/5/2013,18400,2250
851,12/28/2011,18600,2251
852,5/28/2013,18800,2252
853,4/27/2011,19000,2253
854,10/6/2011,19200,2254
855,8/24/2013,19400,2255
856,9/21/2013,19600,2256
857,12/17/2014,19800,2257
858,9/19/2011,18000,2258
859,7/4/2014,18200,2259
860,5/21/2011,18400,2260
861,6/3/2014,18600,2261
862,9/12/2014,18800,2262
863,4/17/2014,19000,2263
864,11/21/2012,19200,2264
865,3/6/2014,19400,2265
866,7/23/2012,19600,2266
867,11/7/2014,19800,2267
868,11/22/2014,18000,2268
869,6/11/2011,18200,2269
870,9/14/2012,18400,2270
871,11/25/2011,18600,2271
872,8/10/2012,18800,2272
873,3/20/2013,19000,2273
874,12/30/2013,19200,2274
875,10/4/2012,19400,2275
876,8/6/2012,19600,2276
877,10/2/2012,19800,2277
878,3/26/2014,18000,2278
879,11/21/2014,18200,2279
880,11/30/2011,18400,2280
881,11/3/2011,18600,2281
882,11/23/2012,18800,2282
883,12/6/2012,19000,2283
884,12/3/2013,19200,2284
885,12/20/2012,19400,2285
886,9/13/2012,19600,2286
887,11/4/2013,19800,2287
888,11/16/2013,18000,2288
889,4/8/2013,18200,2289
890,5/23/2012,18400,2290
891,11/18/2014,18600,2291
892,4/14/2014,18800,2292
893,8/29/2014,19000,2293
894,5/16/2014,19200,2294
895,12/13/2012,19400,2295
896,3/31/2011,19600,2296
897,2/4/2012,19800,2297
898,5/29/2013,18000,2298
899,8/29/2012,18200,2299
900,6/15/2011,18400,2300
901,8/28/2014,18600,2301
902,10/27/2011,18800,2302
903,3/19/2014,19000,2303
904,9/11/2014,19200,2304
905,8/28/2012,19400,2305
906,8/16/2014,19600,2306
907,8/1/2013,19800,2307
908,6/10/2013,18000,2308
909,12/24/2014,18200,2309
910,12/15/2012,18400,2310
911,2/23/2012,18600,2311
912,10/11/2014,18800,2312
913,4/21/2014,19000,2313
914,6/12/2013,19200,2314
915,9/17/2013,19400,2315
916,9/19/2014,19600,2316
917,11/26/2014,19800,2317
918,9/1/2014,18000,2318
919,6/20/2014,18200,2319
920,10/23/2014,18400,2320
921,8/16/2011,18600,2321
922,9/12/2014,18800,2322
923,8/24/2012,19000,2323
924,1/14/2014,19200,2324
925,11/13/2014,19400,2325
926,6/13/2013,19600,2326
927,12/24/2012,19800,2327
928,9/22/2014,18000,2328
929,1/8/2011,18200,2329
930,10/3/2013,18400,2330
931,7/30/2013,18600,2331
932,7/31/2012,18800,2332
933,4/30/2014,19000,2333
934,9/28/2011,19200,2334
935,6/24/2014,19400,2335
936,4/6/2011,19600,2336
937,8/7/2014,19800,2337
938,11/19/2013,18000,2338
939,2/14/2014,18200,2339
940,11/29/2014,18400,2340
941,8/17/2012,18600,2341
942,8/31/2012,18800,2342
943,8/7/2012,19000,2343
944,1/27/2014,19200,2344
945,9/8/2011,19400,2345
946,8/9/2012,19600,2346
947,2/21/2013,19800,2347
948,7/18/2012,18000,2348
949,11/19/2011,18200,2349
950,4/9/2014,18400,2350
951,6/18/2012,18600,2351
952,12/31/2013,18800,2352
953,6/30/2014,19000,2353
954,1/16/2012,19200,2354
955,6/12/2012,19400,2355
956,3/17/2014,19600,2356
957,11/13/2012,19800,2357
958,11/27/2013,18000,2358
959,12/6/2012,18200,2359
960,5/16/2014,18400,2360
961,12/25/2014,18600,2361
962,12/22/2014,18800,2362
963,9/14/2013,19000,2363
964,1/7/2013,19200,2364
965,6/27/2014,19400,2365
966,7/13/2012,19600,2366
967,2/11/2014,19800,2367
968,5/29/2014,18000,2368
969,4/16/2014,18200,2369
970,11/27/2014,18400,2370
971,11/9/2011,18600,2371
972,9/18/2014,18800,2372
973,2/24/2014,19000,2373
974,9/3/2013,19200,2374
975,12/23/2013,19400,2375
976,6/17/2014,19600,2376
977,3/15/2014,19800,2377
978,7/12/2014,18000,2378
979,6/9/2014,18200,2379
980,10/15/2014,18400,2380
981,8/6/2014,18600,2381
982,12/7/2012,18800,2382
983,12/25/2012,19000,2383
984,5/16/2013,19200,2384
985,6/17/2013,19400,2385
986,11/3/2014,19600,2386
987,5/28/2012,19800,2387
988,8/17/2013,18000,2388
989,6/3/2011,18200,2389
990,7/14/2011,18400,2390
991,9/29/2011,18600,2391
992,10/17/2011,18800,2392
993,11/14/2011,19000,2393
994,7/14/2014,19200,2394
995,6/3/2014,19400,2395
996,12/15/2014,19600,2396
997,6/28/2014,19800,2397
998,12/20/2014,18000,2398
999,2/6/2012,18200,2399
1000,1/21/2011,18400,2400
1001,8/3/2012,18600,2401
1002,10/27/2014,18800,2402
1003,2/27/2012,19000,2403
1004,6/11/2012,19200,2404
1005,2/23/2011,19400,2405
1006,9/15/2014,19600,2406
1007,7/20/2013,19800,2407
1008,3/29/2013,18000,2408
1009,10/23/2014,18200,2409
1010,6/24/2014,18400,2410
1011,10/30/2013,18600,2411
1012,12/13/2012,18800,2412
1013,5/4/2013,19000,2413
1014,5/8/2014,19200,2414
1015,9/8/2011,19400,2415
1016,4/22/2012,19600,2416
1017,10/30/2013,19800,2417
1018,4/16/2011,18000,2418
1019,10/12/2012,18200,2419
1020,5/26/2014,18400,2420
1021,10/31/2014,18600,2421
1022,4/12/2013,18800,2422
1023,11/11/2013,19000,2423
1024,10/13/2012,19200,2424
1025,10/13/2012,19400,2425
1026,1/30/2014,19600,2426
1027,10/12/2012,19800,2427
1028,12/6/2013,18000,2428
1029,12/3/2014,18200,2429
1030,9/19/2013,18400,2430
1031,12/31/2012,18600,2431
1032,12/29/2014,18800,2432
1033,11/15/2013,19000,2433
1034,9/12/2011,19200,2434
1035,5/15/2014,19400,2435
1036,9/8/2014,19600,2436
1037,6/17/2013,19800,2437
1038,12/8/2011,18000,2438
1039,9/19/2014,18200,2439
1040,11/27/2013,18400,2440
1041,2/10/2014,18600,2441
1042,2/8/2014,18800,2442
1043,8/5/2013,19000,2443
1044,4/15/2014,19200,2444
1045,3/21/2011,19400,2445
1046,5/5/2014,19600,2446
1047,11/4/2013,19800,2447
1048,6/10/2014,18000,2448
1049,8/31/2012,18200,2449
1050,6/20/2013,18400,2450
1051,8/23/2014,18600,2451
1052,5/28/2012,18800,2452
1053,5/19/2014,19000,2453
1054,4/29/2013,19200,2454
1055,12/23/2013,19400,2455
1056,10/12/2014,19600,2456
1057,4/15/2014,19800,2457
1058,11/28/2014,18000,2458
1059,5/11/2012,18200,2459
1060,6/18/2013,18400,2460
1061,5/4/2012,18600,2461
1062,11/11/2011,18800,2462
1063,12/24/2014,19000,2463
1064,5/15/2014,19200,2464
1065,12/9/2014,19400,2465
1066,12/7/2011,19600,2466
1067,9/10/2013,19800,2467
1068,3/3/2011,18000,2468
1069,1/2/2012,18200,2469
1070,10/30/2012,18400,2470
1071,11/19/2013,18600,2471
1072,8/15/2013,18800,2472
1073,6/8/2013,19000,2473
1074,10/2/2014,19200,2474
1075,2/27/2014,19400,2475
1076,10/31/2013,19600,2476
1077,12/18/2013,19800,2477
1078,5/9/2014,18000,2478
1079,7/4/2014,18200,2479
1080,5/17/2012,18400,2480
1081,8/3/2011,18600,2481
1082,7/29/2013,18800,2482
1083,2/14/2013,19000,2483
1084,5/23/2012,19200,2484
1085,8/4/2014,19400,2485
1086,11/13/2013,19600,2486
1087,2/12/2014,19800,2487
1088,11/11/2014,18000,2488
1089,3/30/2013,18200,2489
1090,8/24/2013,18400,2490
1091,11/2/2014,18600,2491
1092,8/19/2013,18800,2492
1093,5/29/2014,19000,2493
1094,8/22/2012,19200,2494
1095,7/5/2014,19400,2495
1096,3/14/2012,19600,2496
1097,10/2/2014,19800,2497
1098,9/16/2014,18000,2498
1099,8/7/2014,18200,2499
1100,9/9/2013,18400,2500
1101,9/8/2014,18600,2501
1102,10/31/2011,18800,2502
1103,10/17/2012,19000,2503
1104,2/17/2014,19200,2504
1105,2/24/2012,19400,2505
1106,12/3/2012,19600,2506
1107,12/12/2012,19800,2507
1108,6/16/2014,18000,2508
1109,12/20/2012,18200,2509
1110,5/13/2014,18400,2510
1111,12/20/2014,18600,2511
1112,11/7/2014,18800,2512
1113,6/10/2013,19000,2513
1114,5/10/2012,19200,2514
1115,9/13/2013,19400,2515
1116,7/25/2013,19600,2516
1117,10/11/2014,19800,2517
1118,11/22/2011,18000,2518
1119,5/8/2013,18200,2519
1120,10/25/2014,18400,2520
1121,8/28/2012,18600,2521
1122,10/14/2013,18800,2522
1123,2/14/2011,19000,2523
1124,5/1/2014,19200,2524
1125,3/11/2011,19400,2525
1126,8/3/2012,19600,2526
1127,12/20/2012,19800,2527
1128,8/3/2012,18000,2528
1129,6/20/2012,18200,2529
1130,2/8/2013,18400,2530
1131,9/28/2011,18600,2531
1132,6/23/2012,18800,2532
1133,12/20/2013,19000,2533
1134,10/11/2012,19200,2534
1135,8/29/2011,19400,2535
1136,7/18/2014,19600,2536
1137,12/6/2011,19800,2537
1138,4/16/2014,18000,2538
1139,11/17/2014,18200,2539
1140,9/2/2011,18400,2540
1141,8/1/2013,18600,2541
1142,9/12/2014,18800,2542
1143,8/6/2014,19000,2543
1144,11/20/2014,19200,2544
1145,5/4/2012,19400,2545
1146,8/27/2012,19600,2546
1147,12/24/2013,19800,2547
1148,1/29/2013,18000,2548
1149,11/5/2013,18200,2549
1150,12/27/2011,18400,2550
1151,11/30/2012,18600,2551
1152,5/21/2013,18800,2552
1153,10/31/2011,19000,2553
1154,6/27/2014,19200,2554
1155,11/4/2011,19400,2555
1156,7/25/2013,19600,2556
1157,5/8/2011,19800,2557
1158,10/27/2011,18000,2558
1159,7/2/2013,18200,2559
1160,12/26/2012,18400,2560
1161,12/21/2012,18600,2561
1162,5/7/2012,18800,2562
1163,1/8/2011,19000,2563
1164,10/18/2013,19200,2564
1165,7/7/2012,19400,2565
1166,6/18/2011,19600,2566
1167,1/10/2012,19800,2567
1168,2/11/2014,18000,2568
1169,8/13/2013,18200,2569
1170,4/12/2012,18400,2570
1171,1/3/2014,18600,2571
1172,2/12/2013,18800,2572
1173,12/13/2014,19000,2573
1174,7/1/2014,19200,2574
1175,10/4/2014,19400,2575
1176,10/7/2014,19600,2576
1177,6/20/2013,19800,2577
1178,7/11/2014,18000,2578
1179,4/24/2014,18200,2579
1180,5/4/2011,18400,2580
1181,10/6/2011,18600,2581
1182,11/12/2014,18800,2582
1183,12/17/2014,19000,2583
1184,11/14/2014,19200,2584
1185,4/5/2013,19400,2585
1186,9/19/2014,19600,2586
1187,8/22/2013,19800,2587
1188,7/10/2014,18000,2588
1189,10/6/2014,18200,2589
1190,6/1/2013,18400,2590
1191,8/20/2012,18600,2591
1192,8/30/2011,18800,2592
1193,12/4/2012,19000,2593
1194,10/13/2014,19200,2594
1195,12/19/2013,19400,2595
1196,6/16/2012,19600,2596
1197,8/20/2013,19800,2597
1198,6/21/2012,18000,2598
1199,5/23/2012,18200,2599
1200,4/30/2013,18400,2600
1201,6/15/2012,18600,2601
1202,12/18/2013,18800,2602
1203,11/20/2014,19000,2603
1204,7/21/2014,19200,2604
1205,2/8/2013,19400,2605
1206,10/27/2011,19600,2606
1207,1/14/2014,19800,2607
1208,2/26/2013,18000,2608
1209,11/26/2011,18200,2609
1210,8/20/2012,18400,2610
1211,5/24/2012,18600,2611
1212,11/4/2011,18800,2612
1213,9/22/2011,19000,2613
1214,10/17/2013,19200,2614
1215,9/20/2013,19400,2615
1216,6/5/2013,19600,2616
1217,5/14/2013,19800,2617
1218,9/29/2011,18000,2618
1219,1/16/2014,18200,2619
1220,10/21/2013,18400,2620
1221,8/11/2014,18600,2621
1222,5/4/2013,18800,2622
1223,7/15/2013,19000,2623
1224,1/7/2011,19200,2624
1225,12/2/2014,19400,2625
1226,1/8/2014,19600,2626
1227,12/1/2014,19800,2627
1228,6/27/2014,18000,2628
1229,3/12/2011,18200,2629
1230,1/15/2013,18400,2630
1231,11/19/2011,18600,2631
1232,8/28/2012,18800,2632
1233,12/24/2014,19000,2633
1234,6/16/2012,19200,2634
1235,7/11/2013,19400,2635
1236,5/22/2012,19600,2636
1237,8/5/2014,19800,2637
1238,8/12/2014,18000,2638
1239,12/26/2012,18200,2639
1240,1/5/2013,18400,2640
1241,12/29/2014,18600,2641
1242,2/27/2013,18800,2642
1243,12/16/2013,19000,2643
1244,7/4/2012,19200,2644
1245,8/20/2012,19400,2645
1246,7/1/2013,19600,2646
1247,7/3/2012,19800,2647
1248,11/29/2014,18000,2648
1249,4/8/2011,18200,2649
1250,5/9/2013,18400,2650
1251,10/5/2013,18600,2651
1252,11/19/2012,18800,2652
1253,9/1/2014,19000,2653
1254,11/4/2013,19200,2654
1255,9/5/2013,19400,2655
1256,11/19/2013,19600,2656
1257,12/31/2014,19800,2657
1258,3/4/2013,18000,2658
1259,2/2/2012,18200,2659
1260,3/19/2013,18400,2660
1261,3/21/2012,18600,2661
1262,5/24/2014,18800,2662
1263,6/14/2013,19000,2663
1264,10/14/2011,19200,2664
1265,6/2/2014,19400,2665
1266,6/17/2014,19600,2666
1267,12/9/2013,19800,2667
1268,10/9/2013,18000,2668
1269,10/16/2013,18200,2669
1270,12/24/2011,18400,2670
1271,4/16/2013,18600,2671
1272,8/9/2011,18800,2672
1273,12/19/2012,19000,2673
1274,10/19/2011,19200,2674
1275,2/23/2011,19400,2675
1276,3/10/2011,19600,2676
1277,1/25/2014,19800,2677
1278,6/18/2014,18000,2678
1279,12/24/2011,18200,2679
1280,1/8/2013,18400,2680
1281,1/4/2013,18600,2681
1282,1/31/2014,18800,2682
1283,11/4/2011,19000,2683
1284,5/2/2014,19200,2684
1285,6/22/2011,19400,2685
1286,9/24/2013,19600,2686
1287,8/30/2012,19800,2687
1288,6/17/2013,18000,2688
1289,7/22/2014,18200,2689
1290,12/18/2012,18400,2690
1291,9/25/2013,18600,2691
1292,3/24/2014,18800,2692
1293,4/9/2014,19000,2693
1294,12/3/2011,19200,2694
1295,5/28/2014,19400,2695
1296,6/14/2014,19600,2696
1297,11/12/2011,19800,2697
1298,5/31/2013,18000,2698
1299,2/18/2014,18200,2699
1300,8/17/2011,18400,2700
1301,3/6/2012,18600,2701
1302,11/2/2012,18800,2702
1303,8/6/2014,19000,2703
1304,6/18/2014,19200,2704
1305,12/31/2014,19400,2705
1306,9/24/2012,19600,2706
1307,2/18/2013,19800,2707
1308,11/4/2014,18000,2708
1309,9/17/2012,18200,2709
1310,11/24/2014,18400,2710
1311,9/23/2014,18600,2711
1312,11/4/2014,18800,2712
1313,9/1/2014,19000,2713
1314,10/31/2011,19200,2714
1315,9/30/2011,19400,2715
1316,4/17/2014,19600,2716
1317,3/8/2013,19800,2717
1318,2/25/2011,18000,2718
1319,12/3/2014,18200,2719
1320,9/16/2014,18400,2720
1321,7/8/2013,18600,2721
1322,6/5/2013,18800,2722
1323,12/31/2013,19000,2723
1324,3/26/2012,19200,2724
1325,1/29/2014,19400,2725
1326,9/8/2011,19600,2726
1327,2/17/2014,19800,2727
1328,5/30/2012,18000,2728
1329,1/2/2013,18200,2729
1330,11/23/2012,18400,2730
1331,4/11/2014,18600,2731
1332,8/3/2012,18800,2732
1333,11/18/2014,19000,2733
1334,12/13/2011,19200,2734
1335,6/20/2014,19400,2735
1336,11/3/2014,19600,2736
1337,5/21/2013,19800,2737
1338,10/3/2014,18000,2738
1339,12/26/2011,18200,2739
1340,9/24/2014,18400,2740
1341,8/27/2011,18600,2741
1342,8/26/2014,18800,2742
1343,11/18/2014,19000,2743
1344,12/1/2012,19200,2744
1345,9/6/2014,19400,2745
1346,9/30/2014,19600,2746
1347,10/14/2014,19800,2747
1348,9/26/2012,18000,2748
1349,12/30/2014,18200,2749
1350,1/20/2014,18400,2750
1351,7/15/2013,18600,2751
1352,2/28/2011,18800,2752
1353,3/31/2014,19000,2753
1354,6/3/2013,19200,2754
1355,3/5/2013,19400,2755
1356,11/20/2014,19600,2756
1357,10/15/2014,19800,2757
1358,5/23/2011,18000,2758
1359,11/1/2011,18200,2759
1360,8/29/2014,18400,2760
1361,6/21/2014,18600,2761
1362,5/8/2014,18800,2762
1363,8/19/2013,19000,2763
1364,6/27/2013,19200,2764
1365,12/31/2011,19400,2765
1366,1/24/2011,19600,2766
1367,12/4/2014,19800,2767
1368,6/28/2013,18000,2768
1369,5/24/2012,18200,2769
1370,12/8/2014,18400,2770
1371,12/11/2012,18600,2771
1372,3/5/2014,18800,2772
1373,6/2/2014,19000,2773
1374,6/25/2013,19200,2774
1375,9/27/2011,19400,2775
1376,6/5/2013,19600,2776
1377,10/16/2013,19800,2777
1378,12/22/2013,18000,2778
1379,11/10/2014,18200,2779
1380,11/21/2014,18400,2780
1381,11/10/2012,18600,2781
1382,6/8/2011,18800,2782
1383,4/7/2014,19000,2783
1384,10/18/2011,19200,2784
1385,4/25/2012,19400,2785
1386,8/31/2012,19600,2786
1387,4/18/2012,19800,2787
1388,12/20/2013,18000,2788
1389,6/4/2013,18200,2789
1390,6/25/2012,18400,2790
1391,8/16/2012,18600,2791
1392,8/14/2014,18800,2792
1393,6/9/2014,19000,2793
1394,9/3/2013,19200,2794
1395,5/29/2014,19400,2795
1396,6/24/2013,19600,2796
1397,6/21/2011,19800,2797
1398,5/8/2014,18000,2798
1399,11/12/2013,18200,2799
1400,2/13/2014,18400,2800
1401,11/28/2014,18600,2801
1402,8/24/2012,18800,2802
1403,8/2/2014,19000,2803
1404,11/28/2013,19200,2804
1405,8/19/2011,19400,2805
1406,3/13/2014,19600,2806
1407,4/4/2013,19800,2807
1408,9/5/2014,18000,2808
1409,5/17/2014,18200,2809
1410,4/23/2013,18400,2810
1411,3/14/2014,18600,2811
1412,9/14/2012,18800,2812
1413,9/26/2014,19000,2813
1414,10/5/2012,19200,2814
1415,10/29/2014,19400,2815
1416,11/23/2011,19600,2816
1417,12/10/2014,19800,2817
1418,12/9/2011,18000,2818
1419,12/12/2013,18200,2819
1420,12/17/2013,18400,2820
1421,4/14/2014,18600,2821
1422,12/20/2014,18800,2822
1423,9/17/2013,19000,2823
1424,12/19/2013,19200,2824
1425,10/22/2014,19400,2825
1426,12/26/2012,19600,2826
1427,10/11/2013,19800,2827
1428,4/25/2012,18000,2828
1429,6/23/2014,18200,2829
1430,11/28/2012,18400,2830
1431,6/27/2014,18600,2831
1432,6/26/2014,18800,2832
1433,9/17/2012,19000,2833
1434,11/28/2013,19200,2834
1435,9/15/2014,19400,2835
1436,7/23/2014,19600,2836
1437,9/4/2014,19800,2837
1438,12/6/2012,18000,2838
1439,12/24/2013,18200,2839
1440,1/18/2014,18400,2840
1441,12/10/2012,18600,2841
1442,6/26/2014,18800,2842
1443,1/26/2012,19000,2843
1444,7/7/2012,19200,2844
1445,11/28/2011,19400,2845
1446,11/27/2014,19600,2846
1447,12/7/2012,19800,2847
1448,3/20/2012,18000,2848
1449,12/17/2012,18200,2849
1450,11/19/2013,18400,2850
1451,9/2/2014,18600,2851
1452,5/16/2014,18800,2852
1453,11/5/2013,19000,2853
1454,11/7/2011,19200,2854
1455,4/9/2013,19400,2855
1456,6/12/2014,19600,2856
1457,6/10/2013,19800,2857
1458,7/5/2014,18000,2858
1459,5/1/2013,18200,2859
1460,12/15/2012,18400,2860
1461,11/6/2012,18600,2861
1462,9/5/2014,18800,2862
1463,9/15/2011,19000,2863
1464,12/26/2013,19200,2864
1465,12/26/2013,19400,2865
1466,9/2/2014,19600,2866
1467,4/4/2012,19800,2867
1468,6/25/2013,18000,2868
1469,6/26/2011,18200,2869
1470,9/24/2014,18400,2870
1471,3/18/2011,18600,2871
1472,10/31/2012,18800,2872
1473,10/4/2013,19000,2873
1474,11/8/2012,19200,2874
1475,1/28/2012,19400,2875
1476,12/19/2012,19600,2876
1477,12/3/2014,19800,2877
1478,12/4/2013,18000,2878
1479,12/17/2014,18200,2879
1480,11/16/2011,18400,2880
1481,10/18/2013,18600,2881
1482,10/9/2014,18800,2882
1483,3/24/2014,19000,2883
1484,1/4/2014,19200,2884
1485,12/31/2012,19400,2885
1486,12/1/2012,19600,2886
1487,11/14/2012,19800,2887
1488,4/9/2014,18000,2888
1489,10/4/2014,18200,2889
1490,11/10/2012,18400,2890
1491,10/17/2014,18600,2891
1492,12/4/2014,18800,2892
1493,10/25/2012,19000,2893
1494,9/21/2011,19200,2894
1495,11/11/2011,19400,2895
1496,10/4/2011,19600,2896
1497,3/13/2012,19800,2897
