CardRefundID,RefundDate,Amount,ReturnOrderID
CR0064,9/8/2013,8840,5064
CR0065,1/26/2014,9108,5065
CR0066,12/10/2013,9380,5066
CR0067,12/15/2014,9656,5067
CR0068,12/24/2014,9936,5068
CR0069,11/28/2014,10220,5069
CR0070,11/17/2011,10508,5070
CR0071,6/15/2013,10800,5071
CR0072,11/30/2011,11096,5072
CR0073,4/6/2013,11396,5073
CR0074,9/3/2014,11700,5074
CR0075,9/28/2012,12008,5075
CR0076,5/24/2014,12320,5076
CR0077,3/24/2012,12636,5077
CR0078,12/2/2013,12956,5078
CR0079,11/17/2011,13280,5079
CR0080,11/5/2011,13608,5080
CR0081,11/27/2014,13940,5081
CR0082,11/5/2014,14276,5082
CR0083,1/25/2014,14616,5083
CR0084,8/26/2014,14960,5084
CR0085,2/6/2013,15308,5085
CR0086,9/26/2012,15660,5086
CR0087,12/1/2013,16016,5087
CR0088,6/21/2012,16376,5088
CR0089,11/5/2013,16740,5089
CR0090,12/20/2013,17108,5090
CR0091,6/2/2012,17480,5091
CR0092,5/14/2013,17856,5092
CR0093,12/10/2013,18236,5093
CR0094,12/31/2014,18620,5094
CR0095,2/5/2013,19008,5095
CR0096,5/15/2012,19400,5096
CR0097,12/5/2013,19796,5097
CR0098,12/6/2012,17996,5098
CR0099,10/7/2012,18196,5099
CR0100,9/11/2013,18396,5100
CR0101,8/3/2013,18596,5101
CR0102,11/27/2014,18796,5102
CR0103,6/27/2012,18996,5103
CR0104,10/19/2012,19196,5104
CR0105,8/17/2011,19396,5105
CR0106,11/13/2011,19596,5106
CR0107,11/15/2014,19796,5107
CR0108,5/4/2013,17996,5108
CR0109,1/3/2014,18196,5109
CR0110,3/21/2013,18396,5110
CR0111,4/25/2013,18596,5111
CR0112,4/13/2012,18796,5112
CR0113,1/3/2013,18996,5113
CR0114,4/26/2013,19196,5114
CR0115,6/1/2011,19396,5115
CR0116,5/30/2012,19596,5116
CR0117,5/24/2013,19796,5117
CR0118,12/14/2011,17996,5118
CR0119,2/24/2011,18196,5119
CR0120,6/8/2013,18396,5120
CR0121,10/9/2013,18596,5121
CR0122,12/22/2011,18796,5122
CR0123,12/26/2013,18996,5123
CR0124,12/19/2013,19196,5124
CR0125,3/26/2014,19396,5125
CR0126,12/27/2014,19596,5126
CR0127,12/28/2011,19796,5127
CR0128,6/1/2013,17996,5128
CR0129,10/22/2011,18196,5129
CR0130,9/26/2014,18396,5130
CR0131,12/3/2013,18596,5131
CR0132,11/15/2013,18796,5132
CR0133,7/27/2014,18996,5133
CR0134,8/24/2012,19196,5134
CR0135,9/4/2013,19396,5135
CR0136,1/19/2012,19596,5136
CR0137,2/5/2013,19796,5137
CR0138,6/22/2012,17996,5138
CR0139,12/9/2011,18196,5139
CR0140,7/3/2013,18396,5140
CR0141,12/14/2012,18596,5141
CR0142,9/13/2013,18796,5142
CR0143,9/26/2014,18996,5143
CR0144,9/20/2014,19196,5144
CR0145,8/11/2012,19396,5145
CR0146,12/17/2014,19596,5146
CR0147,11/2/2012,19796,5147
CR0148,7/21/2012,17996,5148
CR0149,9/4/2013,18196,5149
CR0150,5/21/2011,18396,5150
CR0151,11/11/2011,18596,5151
CR0152,8/10/2014,18796,5152
CR0153,9/28/2011,18996,5153
CR0154,1/16/2014,19196,5154
CR0155,3/19/2013,19396,5155
CR0156,2/10/2012,19596,5156
CR0157,9/17/2013,19796,5157
CR0158,4/17/2014,17996,5158
CR0159,3/10/2013,18196,5159
CR0160,3/27/2014,18396,5160
CR0161,10/10/2013,18596,5161
CR0162,1/20/2013,18796,5162
CR0163,8/28/2014,18996,5163
CR0164,12/25/2011,19196,5164
CR0165,3/22/2014,19396,5165
CR0166,4/3/2013,19596,5166
CR0167,7/17/2014,19796,5167
CR0168,6/19/2013,17996,5168
CR0169,8/18/2011,18196,5169
CR0170,3/25/2014,18396,5170
CR0171,1/10/2013,18596,5171
CR0172,12/4/2013,18796,5172
CR0173,10/18/2012,18996,5173
CR0174,10/31/2014,19196,5174
CR0175,6/25/2011,19396,5175
CR0176,4/11/2014,19596,5176
CR0177,5/25/2011,19796,5177
CR0178,2/19/2014,17996,5178
CR0179,10/20/2013,18196,5179
CR0180,9/27/2011,18396,5180
CR0181,7/25/2014,18596,5181
CR0182,11/30/2014,18796,5182
CR0183,6/7/2011,18996,5183
CR0184,4/9/2014,19196,5184
CR0185,7/25/2014,19396,5185
CR0186,9/6/2014,19596,5186
CR0187,1/3/2013,19796,5187
CR0188,11/19/2014,17996,5188
CR0189,5/9/2013,18196,5189
CR0190,8/24/2011,18396,5190
CR0191,12/11/2014,18596,5191
CR0192,7/3/2013,18796,5192
CR0193,1/29/2013,18996,5193
CR0194,10/30/2013,19196,5194
CR0195,7/20/2014,19396,5195
CR0196,1/3/2014,19596,5196
CR0197,9/9/2014,19796,5197
CR0198,11/25/2011,17996,5198
CR0199,6/15/2011,18196,5199
CR0200,10/21/2011,18396,5200
CR0201,6/18/2013,18596,5201
CR0202,12/21/2014,18796,5202
CR0203,10/21/2014,18996,5203
CR0204,6/18/2014,19196,5204
CR0205,2/23/2011,19396,5205
CR0206,12/6/2013,19596,5206
CR0207,6/26/2014,19796,5207
CR0208,9/28/2013,17996,5208
CR0209,8/17/2011,18196,5209
CR0210,6/29/2011,18396,5210
CR0211,8/10/2012,18596,5211
CR0212,6/27/2012,18796,5212
CR0213,7/24/2012,18996,5213
CR0214,8/10/2013,19196,5214
CR0215,5/30/2014,19396,5215
CR0216,2/18/2011,19596,5216
CR0217,10/5/2013,19796,5217
CR0218,6/10/2014,17996,5218
CR0219,10/8/2013,18196,5219
CR0220,7/27/2011,18396,5220
CR0221,8/22/2014,18596,5221
CR0222,8/3/2013,18796,5222
CR0223,11/8/2014,18996,5223
CR0224,8/2/2013,19196,5224
CR0225,10/15/2014,19396,5225
CR0226,10/25/2014,19596,5226
CR0227,12/11/2013,19796,5227
CR0228,11/16/2014,17996,5228
CR0229,6/18/2013,18196,5229
CR0230,9/29/2011,18396,5230
CR0231,6/29/2011,18596,5231
CR0232,5/17/2014,18796,5232
CR0233,10/1/2014,18996,5233
CR0234,12/4/2014,19196,5234
CR0235,4/7/2012,19396,5235
CR0236,11/18/2011,19596,5236
CR0237,8/30/2014,19796,5237
CR0238,8/9/2012,17996,5238
CR0239,12/31/2014,18196,5239
CR0240,7/12/2014,18396,5240
CR0241,11/29/2014,18596,5241
CR0242,1/31/2013,18796,5242
CR0243,5/29/2011,18996,5243
CR0244,10/6/2014,19196,5244
CR0245,11/14/2011,19396,5245
CR0246,2/5/2014,19596,5246
CR0247,9/21/2014,19796,5247
CR0248,12/9/2012,17996,5248
CR0249,12/30/2011,18196,5249
CR0250,2/13/2013,18396,5250
CR0251,1/5/2012,18596,5251
CR0252,6/5/2013,18796,5252
CR0253,5/5/2011,18996,5253
CR0254,10/14/2011,19196,5254
CR0255,9/1/2013,19396,5255
CR0256,9/29/2013,19596,5256
CR0257,12/25/2014,19796,5257
CR0258,9/27/2011,17996,5258
CR0259,7/12/2014,18196,5259
CR0260,5/29/2011,18396,5260
CR0261,6/11/2014,18596,5261
CR0262,9/20/2014,18796,5262
CR0263,4/25/2014,18996,5263
CR0264,11/29/2012,19196,5264
CR0265,3/14/2014,19396,5265
CR0266,7/31/2012,19596,5266
CR0267,11/15/2014,19796,5267
CR0268,11/30/2014,17996,5268
CR0269,6/19/2011,18196,5269
CR0270,9/22/2012,18396,5270
CR0271,12/3/2011,18596,5271
CR0272,8/18/2012,18796,5272
CR0273,3/28/2013,18996,5273
CR0274,1/7/2014,19196,5274
CR0275,10/12/2012,19396,5275
CR0276,8/14/2012,19596,5276
CR0277,10/10/2012,19796,5277
CR0278,4/3/2014,17996,5278
CR0279,11/29/2014,18196,5279
CR0280,12/8/2011,18396,5280
CR0281,11/11/2011,18596,5281
CR0282,12/1/2012,18796,5282
CR0283,12/14/2012,18996,5283
CR0284,12/11/2013,19196,5284
CR0285,12/28/2012,19396,5285
CR0286,9/21/2012,19596,5286
CR0287,11/12/2013,19796,5287
CR0288,11/24/2013,17996,5288
CR0289,4/16/2013,18196,5289
CR0290,5/31/2012,18396,5290
CR0291,11/26/2014,18596,5291
CR0292,4/22/2014,18796,5292
CR0293,9/6/2014,18996,5293
CR0294,5/24/2014,19196,5294
CR0295,12/21/2012,19396,5295
CR0296,4/8/2011,19596,5296
CR0297,2/12/2012,19796,5297
CR0298,6/6/2013,17996,5298
CR0299,9/6/2012,18196,5299
CR0300,6/23/2011,18396,5300
CR0301,9/5/2014,18596,5301
CR0302,11/4/2011,18796,5302
CR0303,3/27/2014,18996,5303
CR0304,9/19/2014,19196,5304
CR0305,9/5/2012,19396,5305
CR0306,8/24/2014,19596,5306
CR0307,8/9/2013,19796,5307
CR0308,6/18/2013,17996,5308
CR0309,1/1/2015,18196,5309
CR0310,12/23/2012,18396,5310
CR0311,3/2/2012,18596,5311
CR0312,10/19/2014,18796,5312
CR0313,4/29/2014,18996,5313
CR0314,6/20/2013,19196,5314
CR0315,9/25/2013,19396,5315
CR0316,9/27/2014,19596,5316
CR0317,12/4/2014,19796,5317
CR0318,9/9/2014,17996,5318
CR0319,6/28/2014,18196,5319
CR0320,10/31/2014,18396,5320
CR0321,8/24/2011,18596,5321
CR0322,9/20/2014,18796,5322
CR0323,9/1/2012,18996,5323
CR0324,1/22/2014,19196,5324
CR0325,11/21/2014,19396,5325
CR0326,6/21/2013,19596,5326
CR0327,1/1/2013,19796,5327
CR0328,9/30/2014,17996,5328
CR0329,1/16/2011,18196,5329
CR0330,10/11/2013,18396,5330
CR0331,8/7/2013,18596,5331
CR0332,8/8/2012,18796,5332
CR0333,5/8/2014,18996,5333
CR0334,10/6/2011,19196,5334
CR0335,7/2/2014,19396,5335
CR0336,4/14/2011,19596,5336
CR0337,8/15/2014,19796,5337
CR0338,11/27/2013,17996,5338
CR0339,2/22/2014,18196,5339
CR0340,12/7/2014,18396,5340
CR0341,8/25/2012,18596,5341
CR0342,9/8/2012,18796,5342
CR0343,8/15/2012,18996,5343
CR0344,2/4/2014,19196,5344
CR0345,9/16/2011,19396,5345
CR0346,8/17/2012,19596,5346
CR0347,3/1/2013,19796,5347
CR0348,7/26/2012,17996,5348
CR0349,11/27/2011,18196,5349
CR0350,4/17/2014,18396,5350
CR0351,6/26/2012,18596,5351
CR0352,1/8/2014,18796,5352
CR0353,7/8/2014,18996,5353
CR0354,1/24/2012,19196,5354
CR0355,6/20/2012,19396,5355
CR0356,3/25/2014,19596,5356
CR0357,11/21/2012,19796,5357
CR0358,12/5/2013,17996,5358
CR0359,12/14/2012,18196,5359
CR0360,5/24/2014,18396,5360
CR0361,1/2/2015,18596,5361
CR0362,12/30/2014,18796,5362
CR0363,9/22/2013,18996,5363
CR0364,1/15/2013,19196,5364
CR0365,7/5/2014,19396,5365
CR0366,7/21/2012,19596,5366
CR0367,2/19/2014,19796,5367
CR0368,6/6/2014,17996,5368
CR0369,4/24/2014,18196,5369
CR0370,12/5/2014,18396,5370
CR0371,11/17/2011,18596,5371
CR0372,9/26/2014,18796,5372
CR0373,3/4/2014,18996,5373
CR0374,9/11/2013,19196,5374
CR0375,12/31/2013,19396,5375
CR0376,6/25/2014,19596,5376
CR0377,3/23/2014,19796,5377
CR0378,7/20/2014,17996,5378
CR0379,6/17/2014,18196,5379
CR0380,10/23/2014,18396,5380
CR0381,8/14/2014,18596,5381
CR0382,12/15/2012,18796,5382
CR0383,1/2/2013,18996,5383
CR0384,5/24/2013,19196,5384
CR0385,6/25/2013,19396,5385
CR0386,11/11/2014,19596,5386
CR0387,6/5/2012,19796,5387
CR0388,8/25/2013,17996,5388
CR0389,6/11/2011,18196,5389
CR0390,7/22/2011,18396,5390
CR0391,10/7/2011,18596,5391
CR0392,10/25/2011,18796,5392
CR0393,11/22/2011,18996,5393
CR0394,7/22/2014,19196,5394
CR0395,6/11/2014,19396,5395
CR0396,12/23/2014,19596,5396
CR0397,7/6/2014,19796,5397
CR0398,12/28/2014,17996,5398
CR0399,2/14/2012,18196,5399
CR0400,1/29/2011,18396,5400
CR0401,8/11/2012,18596,5401
CR0402,11/4/2014,18796,5402
CR0403,3/6/2012,18996,5403
CR0404,6/19/2012,19196,5404
CR0405,3/3/2011,19396,5405
CR0406,9/23/2014,19596,5406
CR0407,7/28/2013,19796,5407
CR0408,4/6/2013,17996,5408
CR0409,10/31/2014,18196,5409
CR0410,7/2/2014,18396,5410
CR0411,11/7/2013,18596,5411
CR0412,12/21/2012,18796,5412
CR0413,5/12/2013,18996,5413
CR0414,5/16/2014,19196,5414
CR0415,9/16/2011,19396,5415
CR0416,4/30/2012,19596,5416
CR0417,11/7/2013,19796,5417
CR0418,4/24/2011,17996,5418
CR0419,10/20/2012,18196,5419
CR0420,6/3/2014,18396,5420
CR0421,11/8/2014,18596,5421
CR0422,4/20/2013,18796,5422
CR0423,11/19/2013,18996,5423
CR0424,10/21/2012,19196,5424
CR0425,10/21/2012,19396,5425
CR0426,2/7/2014,19596,5426
CR0427,10/20/2012,19796,5427
CR0428,12/14/2013,17996,5428
CR0429,12/11/2014,18196,5429
CR0430,9/27/2013,18396,5430
CR0431,1/8/2013,18596,5431
CR0432,1/6/2015,18796,5432
CR0433,11/23/2013,18996,5433
CR0434,9/20/2011,19196,5434
CR0435,5/23/2014,19396,5435
CR0436,9/16/2014,19596,5436
CR0437,6/25/2013,19796,5437
CR0438,12/16/2011,17996,5438
CR0439,9/27/2014,18196,5439
CR0440,12/5/2013,18396,5440
CR0441,2/18/2014,18596,5441
CR0442,2/16/2014,18796,5442
CR0443,8/13/2013,18996,5443
CR0444,4/23/2014,19196,5444
CR0445,3/29/2011,19396,5445
CR0446,5/13/2014,19596,5446
CR0447,11/12/2013,19796,5447
CR0448,6/18/2014,17996,5448
CR0449,9/8/2012,18196,5449
CR0450,6/28/2013,18396,5450
CR0451,8/31/2014,18596,5451
CR0452,6/5/2012,18796,5452
CR0453,5/27/2014,18996,5453
CR0454,5/7/2013,19196,5454
CR0455,12/31/2013,19396,5455
CR0456,10/20/2014,19596,5456
CR0457,4/23/2014,19796,5457
CR0458,12/6/2014,17996,5458
CR0459,5/19/2012,18196,5459
CR0460,6/26/2013,18396,5460
CR0461,5/12/2012,18596,5461
CR0462,11/19/2011,18796,5462
CR0463,1/1/2015,18996,5463
CR0464,5/23/2014,19196,5464
CR0465,12/17/2014,19396,5465
CR0466,12/15/2011,19596,5466
CR0467,9/18/2013,19796,5467
CR0468,3/11/2011,17996,5468
CR0469,1/10/2012,18196,5469
CR0470,11/7/2012,18396,5470
CR0471,11/27/2013,18596,5471
CR0472,8/23/2013,18796,5472
CR0473,6/16/2013,18996,5473
CR0474,10/10/2014,19196,5474
CR0475,3/7/2014,19396,5475
CR0476,11/8/2013,19596,5476
CR0477,12/26/2013,19796,5477
CR0478,5/17/2014,17996,5478
CR0479,7/12/2014,18196,5479
CR0480,5/25/2012,18396,5480
CR0481,8/11/2011,18596,5481
CR0482,8/6/2013,18796,5482
CR0483,2/22/2013,18996,5483
CR0484,5/31/2012,19196,5484
CR0485,8/12/2014,19396,5485
CR0486,11/21/2013,19596,5486
CR0487,2/20/2014,19796,5487
CR0488,11/19/2014,17996,5488
CR0489,4/7/2013,18196,5489
CR0490,9/1/2013,18396,5490
CR0491,11/10/2014,18596,5491
CR0492,8/27/2013,18796,5492
CR0493,6/6/2014,18996,5493
CR0494,8/30/2012,19196,5494
CR0495,7/13/2014,19396,5495
CR0496,3/22/2012,19596,5496
CR0497,10/10/2014,19796,5497
CR0498,9/24/2014,17996,5498
CR0499,8/15/2014,18196,5499
CR0500,9/17/2013,18396,5500
CR0501,9/16/2014,18596,5501
CR0502,11/8/2011,18796,5502
CR0503,10/25/2012,18996,5503
CR0504,2/25/2014,19196,5504
CR0505,3/3/2012,19396,5505
CR0506,12/11/2012,19596,5506
CR0507,12/20/2012,19796,5507
CR0508,6/24/2014,17996,5508
CR0509,12/28/2012,18196,5509
CR0510,5/21/2014,18396,5510
CR0511,12/28/2014,18596,5511
CR0512,11/15/2014,18796,5512
CR0513,6/18/2013,18996,5513
CR0514,5/18/2012,19196,5514
CR0515,9/21/2013,19396,5515
CR0516,8/2/2013,19596,5516
CR0517,10/19/2014,19796,5517
CR0518,11/30/2011,17996,5518
CR0519,5/16/2013,18196,5519
CR0520,11/2/2014,18396,5520
CR0521,9/5/2012,18596,5521
CR0522,10/22/2013,18796,5522
CR0523,2/22/2011,18996,5523
CR0524,5/9/2014,19196,5524
CR0525,3/19/2011,19396,5525
CR0526,8/11/2012,19596,5526
CR0527,12/28/2012,19796,5527
CR0528,8/11/2012,17996,5528
CR0529,6/28/2012,18196,5529
CR0530,2/16/2013,18396,5530
CR0531,10/6/2011,18596,5531
CR0532,7/1/2012,18796,5532
CR0533,12/28/2013,18996,5533
CR0534,10/19/2012,19196,5534
CR0535,9/6/2011,19396,5535
CR0536,7/26/2014,19596,5536
CR0537,12/14/2011,19796,5537
CR0538,4/24/2014,17996,5538
CR0539,11/25/2014,18196,5539
CR0540,9/10/2011,18396,5540
CR0541,8/9/2013,18596,5541
CR0542,9/20/2014,18796,5542
CR0543,8/14/2014,18996,5543
CR0544,11/28/2014,19196,5544
CR0545,5/12/2012,19396,5545
CR0546,9/4/2012,19596,5546
CR0547,1/1/2014,19796,5547
CR0548,2/6/2013,17996,5548
CR0549,11/13/2013,18196,5549
CR0550,1/4/2012,18396,5550
CR0551,12/8/2012,18596,5551
CR0552,5/29/2013,18796,5552
CR0553,11/8/2011,18996,5553
CR0554,7/5/2014,19196,5554
CR0555,11/12/2011,19396,5555
CR0556,8/2/2013,19596,5556
CR0557,5/16/2011,19796,5557
CR0558,11/4/2011,17996,5558
CR0559,7/10/2013,18196,5559
CR0560,1/3/2013,18396,5560
CR0561,12/29/2012,18596,5561
CR0562,5/15/2012,18796,5562
CR0563,1/16/2011,18996,5563
CR0564,10/26/2013,19196,5564
CR0565,7/15/2012,19396,5565
CR0566,6/26/2011,19596,5566
CR0567,1/18/2012,19796,5567
CR0568,2/19/2014,17996,5568
CR0569,8/21/2013,18196,5569
CR0570,4/20/2012,18396,5570
CR0571,1/11/2014,18596,5571
CR0572,2/20/2013,18796,5572
CR0573,12/21/2014,18996,5573
CR0574,7/9/2014,19196,5574
CR0575,10/12/2014,19396,5575
CR0576,10/15/2014,19596,5576
CR0577,6/28/2013,19796,5577
CR0578,7/19/2014,17996,5578
CR0579,5/2/2014,18196,5579
CR0580,5/12/2011,18396,5580
CR0581,10/14/2011,18596,5581
CR0582,11/20/2014,18796,5582
CR0583,12/25/2014,18996,5583
CR0584,11/22/2014,19196,5584
CR0585,4/13/2013,19396,5585
CR0586,9/27/2014,19596,5586
CR0587,8/30/2013,19796,5587
CR0588,7/18/2014,17996,5588
CR0589,10/14/2014,18196,5589
CR0590,6/9/2013,18396,5590
CR0591,8/28/2012,18596,5591
CR0592,9/7/2011,18796,5592
CR0593,12/12/2012,18996,5593
CR0594,10/21/2014,19196,5594
CR0595,12/27/2013,19396,5595
CR0596,6/24/2012,19596,5596
CR0597,8/28/2013,19796,5597
CR0598,6/29/2012,17996,5598
CR0599,5/31/2012,18196,5599
CR0600,5/8/2013,18396,5600
CR0601,6/23/2012,18596,5601
CR0602,12/26/2013,18796,5602
CR0603,11/28/2014,18996,5603
CR0604,7/29/2014,19196,5604
CR0605,2/16/2013,19396,5605
CR0606,11/4/2011,19596,5606
CR0607,1/22/2014,19796,5607
CR0608,3/6/2013,17996,5608
CR0609,12/4/2011,18196,5609
CR0610,8/28/2012,18396,5610
CR0611,6/1/2012,18596,5611
CR0612,11/12/2011,18796,5612
CR0613,9/30/2011,18996,5613
CR0614,10/25/2013,19196,5614
CR0615,9/28/2013,19396,5615
CR0616,6/13/2013,19596,5616
CR0617,5/22/2013,19796,5617
CR0618,10/7/2011,17996,5618
CR0619,1/24/2014,18196,5619
CR0620,10/29/2013,18396,5620
CR0621,8/19/2014,18596,5621
CR0622,5/12/2013,18796,5622
CR0623,7/23/2013,18996,5623
CR0624,1/15/2011,19196,5624
CR0625,12/10/2014,19396,5625
CR0626,1/16/2014,19596,5626
CR0627,12/9/2014,19796,5627
CR0628,7/5/2014,17996,5628
CR0629,3/20/2011,18196,5629
CR0630,1/23/2013,18396,5630
CR0631,11/27/2011,18596,5631
CR0632,9/5/2012,18796,5632
CR0633,1/1/2015,18996,5633
CR0634,6/24/2012,19196,5634
CR0635,7/19/2013,19396,5635
CR0636,5/30/2012,19596,5636
CR0637,8/13/2014,19796,5637
CR0638,8/20/2014,17996,5638
CR0639,1/3/2013,18196,5639
CR0640,1/13/2013,18396,5640
CR0641,1/6/2015,18596,5641
CR0642,3/7/2013,18796,5642
CR0643,12/24/2013,18996,5643
CR0644,7/12/2012,19196,5644
CR0645,8/28/2012,19396,5645
CR0646,7/9/2013,19596,5646
CR0647,7/11/2012,19796,5647
CR0648,12/7/2014,17996,5648
CR0649,4/16/2011,18196,5649
CR0650,5/17/2013,18396,5650
CR0651,10/13/2013,18596,5651
CR0652,11/27/2012,18796,5652
CR0653,9/9/2014,18996,5653
CR0654,11/12/2013,19196,5654
CR0655,9/13/2013,19396,5655
CR0656,11/27/2013,19596,5656
CR0657,1/8/2015,19796,5657
CR0658,3/12/2013,17996,5658
CR0659,2/10/2012,18196,5659
CR0660,3/27/2013,18396,5660
CR0661,3/29/2012,18596,5661
CR0662,6/1/2014,18796,5662
CR0663,6/22/2013,18996,5663
CR0664,10/22/2011,19196,5664
CR0665,6/10/2014,19396,5665
CR0666,6/25/2014,19596,5666
CR0667,12/17/2013,19796,5667
CR0668,10/17/2013,17996,5668
CR0669,10/24/2013,18196,5669
CR0670,1/1/2012,18396,5670
CR0671,4/24/2013,18596,5671
CR0672,8/17/2011,18796,5672
CR0673,12/27/2012,18996,5673
CR0674,10/27/2011,19196,5674
CR0675,3/3/2011,19396,5675
CR0676,3/18/2011,19596,5676
CR0677,2/2/2014,19796,5677
CR0678,6/26/2014,17996,5678
CR0679,1/1/2012,18196,5679
CR0680,1/16/2013,18396,5680
CR0681,1/12/2013,18596,5681
CR0682,2/8/2014,18796,5682
CR0683,11/12/2011,18996,5683
CR0684,5/10/2014,19196,5684
CR0685,6/30/2011,19396,5685
CR0686,10/2/2013,19596,5686
CR0687,9/7/2012,19796,5687
CR0688,6/25/2013,17996,5688
CR0689,7/30/2014,18196,5689
CR0690,12/26/2012,18396,5690
CR0691,10/3/2013,18596,5691
CR0692,4/1/2014,18796,5692
CR0693,4/17/2014,18996,5693
CR0694,12/11/2011,19196,5694
CR0695,6/5/2014,19396,5695
CR0696,6/22/2014,19596,5696
CR0697,11/20/2011,19796,5697
CR0698,6/8/2013,17996,5698
CR0699,2/26/2014,18196,5699
CR0700,8/25/2011,18396,5700
CR0701,3/14/2012,18596,5701
CR0702,11/10/2012,18796,5702
CR0703,8/14/2014,18996,5703
CR0704,6/26/2014,19196,5704
CR0705,1/8/2015,19396,5705
CR0706,10/2/2012,19596,5706
CR0707,2/26/2013,19796,5707
CR0708,11/12/2014,17996,5708
CR0709,9/25/2012,18196,5709
CR0710,12/2/2014,18396,5710
CR0711,10/1/2014,18596,5711
CR0712,11/12/2014,18796,5712
CR0713,9/9/2014,18996,5713
CR0714,11/8/2011,19196,5714
CR0715,10/8/2011,19396,5715
CR0716,4/25/2014,19596,5716
CR0717,3/16/2013,19796,5717
CR0718,3/5/2011,17996,5718
CR0719,12/11/2014,18196,5719
CR0720,9/24/2014,18396,5720
CR0721,7/16/2013,18596,5721
CR0722,6/13/2013,18796,5722
CR0723,1/8/2014,18996,5723
CR0724,4/3/2012,19196,5724
CR0725,2/6/2014,19396,5725
CR0726,9/16/2011,19596,5726
CR0727,2/25/2014,19796,5727
CR0728,6/7/2012,17996,5728
CR0729,1/10/2013,18196,5729
CR0730,12/1/2012,18396,5730
CR0731,4/19/2014,18596,5731
CR0732,8/11/2012,18796,5732
CR0733,11/26/2014,18996,5733
CR0734,12/21/2011,19196,5734
CR0735,6/28/2014,19396,5735
CR0736,11/11/2014,19596,5736
CR0737,5/29/2013,19796,5737
CR0738,10/11/2014,17996,5738
CR0739,1/3/2012,18196,5739
CR0740,10/2/2014,18396,5740
CR0741,9/4/2011,18596,5741
CR0742,9/3/2014,18796,5742
CR0743,11/26/2014,18996,5743
CR0744,12/9/2012,19196,5744
CR0745,9/14/2014,19396,5745
CR0746,10/8/2014,19596,5746
CR0747,10/22/2014,19796,5747
CR0748,10/4/2012,17996,5748
CR0749,1/7/2015,18196,5749
CR0750,1/28/2014,18396,5750
CR0751,7/23/2013,18596,5751
CR0752,3/8/2011,18796,5752
CR0753,4/8/2014,18996,5753
CR0754,6/11/2013,19196,5754
CR0755,3/13/2013,19396,5755
CR0756,11/28/2014,19596,5756
CR0757,10/23/2014,19796,5757
CR0758,5/31/2011,17996,5758
CR0759,11/9/2011,18196,5759
CR0760,9/6/2014,18396,5760
CR0761,6/29/2014,18596,5761
CR0762,5/16/2014,18796,5762
CR0763,8/27/2013,18996,5763
CR0764,7/5/2013,19196,5764
CR0765,1/8/2012,19396,5765
CR0766,2/1/2011,19596,5766
CR0767,12/12/2014,19796,5767
CR0768,7/6/2013,17996,5768
CR0769,6/1/2012,18196,5769
CR0770,12/16/2014,18396,5770
CR0771,12/19/2012,18596,5771
CR0772,3/13/2014,18796,5772
CR0773,6/10/2014,18996,5773
CR0774,7/3/2013,19196,5774
CR0775,10/5/2011,19396,5775
